Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,links,Image,description,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group
Welsh Terrier,5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4,https://www.akc.org/dog-breeds/welsh-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Terrier-Illo.jpg,"Sturdy, compact, and rugged, with a tight-fitting black-and-tan coat and a rectangular head featuring folded ears and a jaunty beard, Welsh are constructed along the classic lines of Britain’s long-legged terriers. They stand about 15 inches at the shoulder, a little larger than the Lakeland Terrier but much smaller than the mighty Airedale.All three breeds, however, share a family resemblance: An ancient breed called the Old English Black and Tan Terrier is thought to be the granddaddy of these and some other British terriers. The Welsh Terrier is as alert and spirited as any self-respecting terrier, but a bit calmer than most—“game, not quarrelsome,” as breed fanciers say. The Welshman was bred to do battle with badgers, otters, and other dangerous opponents.",38.1,38.1,9.0718474,9.0718474,12.0,15.0,Terrier Group
Toy Fox Terrier,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4,https://www.akc.org/dog-breeds/toy-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Toy-Fox-Terrier-Illo.jpg,"A surefire recipe for fun: Take the lovability of a lapdog. Combine with terrier tenacity. Pour the mixture into a beautifully balanced container. Wrap in a tight-fitting satin coat. Top with large, erect ears and dark eyes that sparkle with eager intelligence. This is the Toy Fox Terrier, a lithe but sturdy little comedian standing under a foot tall but packed with enough charisma for a whole kennel of ordinary dogs. The breed’s admirers like to say, “TFTs are truly a toy and a terrier.” A diminutive satin-coated terrier with an amusing toy-dog personality, the Toy Fox Terrier is, as breed fanciers say, “truly a toy and a terrier.” They began as barnyard ratters but are today beguiling companions with a big personality.",21.59,29.21,1.587573295,3.17514659,13.0,15.0,Toy Group
Schipperke,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3,https://www.akc.org/dog-breeds/schipperke/,https://www.akc.org/wp-content/uploads/2017/11/Schipperke-Illo-2.jpg,"Standing no higher than 13 inches, Schipperkes are small dogs built for hard work. Schips were created as ratters and watchdogs. Their powerful jaws, necks, and forequarters—coupled with a stealthy, catlike hunting style—make them ideal rat-catching machines. The black coat is profuse around the neck, shoulders, and legs, giving the breed a silhouette that accentuates a thick, substantial body. The foxy face completes the unique look of a unique breed. If you can’t tell a Schipperke from an ordinary dog, you simply haven’t been paying attention. The Schipperke, Belgium's ""little captain,"" is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment.",25.4,33.02,4.535923700000001,7.25747792,12.0,14.0,Non-Sporting Group
Parson Russell Terrier,5,3,5,2,2,1,Smooth,Short,3,4,3,4,4,5,3,4,https://www.akc.org/dog-breeds/parson-russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Parson-Russell-Terrier-illustration.jpg,"PRTs stand 12–15 inches at the shoulder, and weigh 13–17 pounds when in peak condition. Their intelligent expression, mostly white coat, and beautifully balanced body give PRTs the adorable looks of a plush toy come to life. But don’t be fooled by all that cuteness—PRTs are tough little guys built for England’s traditional sport of foxhunting. They’re fast enough to follow the hounds and fearless enough to dig into the ground and flush a fox from his lair. The Parson Russell Terrier is a bold and clever terrier, swift enough to run with horses and fearless enough to dig in and flush a fox from his lair. Independent problem solvers, PRTs can have their own ideas on how to go about things.",33.02,35.56,5.8967008100000005,7.71107029,13.0,15.0,Terrier Group
Pointer,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4,https://www.akc.org/dog-breeds/pointer/,https://www.akc.org/wp-content/uploads/2017/11/Pointer-Illo-2.jpg,"The noble Pointer is the ultimate expression of canine power and grace. Unquestioned aristocrats of the sporting world, Pointers carry themselves proudly and are capable of great speed and agility. The coat comes in several colors, solid or in patterns—but as the breed’s devotees like to say, a good Pointer can’t be a bad color. A large male can stand 28 inches at the shoulder and weigh up to 75 pounds; a small female might weigh as little as 45 pounds and stand 23 inches. The Pointer is the ultimate expression of canine power and grace. The breed’s name is its job description: Pointers point game birds, and they have been pointing for centuries. The high-energy Pointer is an excellent runner’s companion.",58.42,71.12,20.41165665,34.01942775,12.0,17.0,Sporting Group
Belgian Sheepdog,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4,https://www.akc.org/dog-breeds/belgian-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Sheepdog-Illo-2.jpg,"The stirring silhouette of a Belgian Sheepdog conveys both elegance and muscular determination. A handsome feature of the breed is the exceedingly proud carriage of the head and neck. A male might stand 26 inches at the shoulder; females are smaller. The dark eyes sparkle with a questioning intelligence, and the black coat is abundant, from the neck’s “collarette” to the “breeches” of the hindquarters. In all ways, Belgian Sheepdogs are bright-eyed and bushy-tailed.In any sport or activity, a Belgian will always give 100 percent. In turn, owners tend to form a special bond with their eager workaholics. As one devotee puts it, Belgians “inspire such intense loyalty because they themselves live and love with such great passion.” The Belgian Sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend. This is a breed built for hard work, and plenty of it. These sensitive souls crave human companionship and abhor neglect.",55.88,66.04,20.41165665,34.01942775,12.0,14.0,Herding Group
Tibetan Spaniel,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3,https://www.akc.org/dog-breeds/tibetan-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Spaniel-Illo.jpg,"With a blunt muzzle and big expressive eyes, a “lion’s mane” around the neck, and a plumed tail elegantly curving over the back, they’re distinctly Tibetan. But are they spaniels? No, not in the Western sense, like Cockers or Cavaliers. Instead, Tibbies recall the ancient traditions that produced Pekes, Pugs, Lhasas, and other unmistakably Asian breeds. Tibbies stand about 10 inches at the shoulder; they move quickly and with purpose. They’re seen in coats of many colors and combinations. The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and “lion’s mane” around the neck, the Tibbie forms a tight, worshipful bond with their humans.",25.4,25.4,4.082331330000001,6.80388555,12.0,15.0,Non-Sporting Group
American Eskimo Dog,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3,https://www.akc.org/dog-breeds/american-eskimo-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12155349/American-Eskimo-Dog-illustration.jpg,"The American Eskimo Dog comes in three sizes—standard, miniature, and toy—standing as tall as 19 inches at the shoulder or as short as 9 inches. Distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. Some Eskies have markings with the delicious color name “biscuit cream.” They move with a bold and agile gait.Eskies are social animals and can develop problem behaviors when neglected or undertrained—they insist on being part of family life. Among the most trainable of breeds, the clever, kid-friendly Eskie practically invented the phrase “eager to please.” The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",22.86,48.26,2.72155422,15.875732950000002,13.0,15.0,Non-Sporting Group
Irish Terrier,5,5,1,2,1,1,Wiry,Medium,3,3,5,4,3,3,3,4,https://www.akc.org/dog-breeds/irish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Terrier-Illo-2.jpg,"Irish Terriers are the prototype of a long-legged terrier. Standing about 18 inches at the shoulder, they’re sturdy but lithe and graceful. Every line of the body is eye-catching, and the overall picture is beautifully balanced. The tight red coat is as fiery as the breed’s temperament. ITs are a dog lover’s delight: If your heart doesn’t go pitty-pat at the sight of this Technicolor terrier framed against the vivid greens of the Irish countryside, forget dogs and buy a goldfish. The Irish Terrier, “Daredevil” of the Emerald Isle, is a bold, dashing, and courageous terrier of medium size. Known for his fiery red coat and a temperament to match, the Irish Terrier is stouthearted at work and tenderhearted at home.",45.72,45.72,11.33980925,12.24699399,13.0,15.0,Terrier Group
Beauceron,3,3,3,4,3,1,Smooth,Short,2,3,4,3,3,5,3,3,https://www.akc.org/dog-breeds/beauceron/,https://www.akc.org/wp-content/uploads/2017/11/Beauceron-Illo-2.jpg,"Beaucerons are muscular, rugged, and large, standing as high as 27.5 inches at the shoulder, and yet graceful and in all ways balanced. Their dark black coats feature handsome squirrel-red accents, including the red feet that give the breed its French nickname Bas-Rouge (“red stockings”). They’re also seen in a black-gray-tan coat. The long head is well chiseled, and the dark brown eyes project an expression breed fanciers describe as frank and confident. They’re not for novice owners, who might end up being owned by their dominant dog instead of the other way around. That said, well-trained and socialized Beaucerons are levelheaded watchdogs and guardians, especially good with the young, the small, and the defenseless. The Beauceron is imposing and powerful, but also remarkably smart, spirited, and a versatile herder—imagine a Border Collie’s brain in a 100-pound body. They are especially beloved by women as a dashing but sensitive companion and protector.",60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,Herding Group
Afghan Hound,3,3,3,1,4,1,Silky,Long,3,3,3,3,1,4,3,3,https://www.akc.org/dog-breeds/afghan-hound/,https://www.akc.org/wp-content/uploads/2017/11/Afghan-Hound-illustration.jpg,"The Afghan Hound is an ancient breed, his whole appearance one of dignity and aloofness – his eyes gazing into the distance as if in memory of ages past. An intelligent and independent mind, his whole appearance one of dignity and style. To his own he is devoted and loyal with a charming and lively personality. The Afghan Hound is an athlete capable of immense speed and requires a large fenced in yard and exercise daily.Since ancient times, Afghan Hounds have been famous for their elegant beauty. But the thick, silky, flowing coat that is the breed’s crowning glory isn’t just for show — it served as protection from the harsh climate in mountainous regions where Afghans originally earned their keep. Beneath the Afghan’s glamorous exterior is a powerful, agile hound — standing as high as 27 inches at the shoulder — built for a long day’s hunt. Their huge paw-pads acted as shock absorbers on their homeland’s punishing terrain.The Afghan Hound is a special breed for special people. A breed expert writes, “It’s not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the Afghan Hound as a pet.” The Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, he is known for his profound loyalty, sensitive nature, and absolute love for those he calls his own.",63.5,68.58,22.6796185,27.2155422,12.0,15.0,Hound Group
Boerboel,5,4,2,3,2,3,Smooth,Short,3,3,5,3,4,3,3,4,https://www.akc.org/dog-breeds/boerboel/,https://www.akc.org/wp-content/uploads/2017/11/Boerboel-Illo-2.jpg,"There’s a no-frills, no-nonsense quality to this sleek-coated avenger, who might stand as high as 27 inches at the shoulder and weigh as much as you do. A broad and blocky head, powerful jaws, and thick muscles from neck to rump mark it as a descendant of the ancient “molloser” dog family, the foundation of today’s mastiff-type breeds. In motion, the Boerboel just might be the most agile of all mastiff types.The imposing Boerboel is devoted to protecting the people and places he loves. Training and socialization should begin early, before a pup becomes a dominant adult. This is a trainable, versatile breed, eager to spend time with their adored humans. Still, a Boerboel might be way too much dog for the novice owner to handle. Boerboels are intimidating but discerning guardians of home and family who learned their trade while protecting remote South African homesteads from ferocious predators. They are dominant and confident, also bright and eager to learn.",55.88,68.58,68.0388555,90.718474,9.0,11.0,Working Group
Bearded Collie,4,5,5,3,4,1,Silky,Long,4,4,3,4,3,4,5,3,https://www.akc.org/dog-breeds/bearded-collie/,https://www.akc.org/wp-content/uploads/2017/11/Bearded-Collie-Illo-2.jpg,"Standing 20 to 22 inches at the shoulder and covered head to tail in a shaggy double coat, Beardies bear a passing resemblance to another British favorite, the Old English Sheepdog. Beneath the coats, Beardies are the more lean and angular of the two. The lavish facial hair shouldn’t obscure the characteristic expression: a dreamy, faraway gaze.These rambunctious comics can be a handful—but mostly, Beardies are approximately 50 pounds of heart, energy, and laughter. Well-socialized Beardies will get on nicely with other animals and kids. They bore easily, and training must be kept interesting. Outdoorsy families looking for a sturdy dog to share an uptempo lifestyle will never find a more affectionate and amusing sidekick. A boisterous and charismatic droving dog from Scotland, the shaggy-coated Bearded Collie (“Beardie” to his friends) enjoys outdoor exercise in all weather. Bred to be independent decision-makers, they can be willful but are always friendly.",50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,Herding Group
Black Russian Terrier,3,3,3,3,4,3,Double,Medium,2,3,5,4,4,4,3,4,https://www.akc.org/dog-breeds/black-russian-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Black-Russian-Terrier-Illo-3.jpg,"What’s the word we’re looking for? Imposing? Massive? Majestic? How about just plain “big.” This brawny guard dog of the Siberian steppes can tip the scales at 140 pounds and stand as high as 30 inches at the shoulder. They’re much taller when the huge, brick-shaped head is considered. The tousled, all-black coat is warm enough to allow BRTs to patrol some of the coldest habitable places on earth. The old expression “He moves well for a big guy” applies to this nimble-footed giant. The Black Russian Terrier is a large, immensely powerful worker of heavy bone and coarse all-black coat. BRTs are known for their courage, confidence, and intelligence. Bred to guard and protect, they are naturally aloof with strangers.",66.04,76.2,36.2873896,58.9670081,10.0,12.0,Working Group
Black and Tan Coonhound,4,5,5,3,2,3,Smooth,Short,3,3,2,4,3,3,4,3,https://www.akc.org/dog-breeds/black-and-tan-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Black-And-Tan-Coonhound-Illo.jpg,"Black and Tans have an amazingly sensitive nose, long, velvety ears, and a sweet disposition. The coal-black coat features rich tan accents, including the distinctive “pumpkin seeds” above keenly expressive eyes. These are big, strong hounds: A good-size male can stand 27 inches at the shoulder and cover ground with effortless, eager strides.B&Ts are sociable hounds. A lonely B&T will serenade the neighborhood with loud, mournful “music.” B&Ts can keep pace with the most active family, but they also can hog the sofa for hours on end. Hounds will be hounds: A passing squirrel can arouse B&T prey drive in no time flat, so a strong leash and sturdy fence are must-haves. B&Ts might be too much hound for the lifestyle of every owner. Large, athletic hunters who work nights, Black and Tan Coonhounds are friendly, easygoing hounds who love company. They are snoozy by the fireside but tenacious when on the trail of the wily raccoon. This hound is a real American original.",58.42,68.58,29.48350405,49.895160700000005,10.0,12.0,Hound Group
American Hairless Terrier,5,5,3,1,1,1,Hairless,Short,3,3,3,5,5,3,3,3,https://www.akc.org/dog-breeds/american-hairless-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Hairless-Terrier-illustration.jpg,"The American Hairless Terrier stands between 12 to 16 inches at the shoulder, and comes in both coated and hairless varieties. The hairless variety might have eyebrows and whiskers, while the coated has a short, shiny coat. The skin of the hairless is smooth and warm to the touch. The broad, wedge-shaped head is a hallmark of both varieties. Erect, V-shaped ears frame the round, expressive eyes that gleam with curiosity.The American Hairless moves with jaunty pep in his step that announces real terrier attitude. The hairless variety is as hypoallergenic as a dog can get. Hairlessness, though, presents its own challenges. Sunburn is a concern, and cold weather requires special precautions. This breed is protective of their humans and make alert watchdogs. The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.",30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,Terrier Group
Norfolk Terrier,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4,https://www.akc.org/dog-breeds/norfolk-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Norfolk-Terrier-Illo-2.jpg,"Norfolk Terriers are among the smallest working terriers, standing no higher than 10 inches at the shoulder. The coat is hard, wiry, and straight. They share many traits with their close cousins, Norwich Terriers. To tell them apart, look at the ears: The Norwich has erect, pointed ears; Norfolk ears are neatly folded over.Bred to work in packs, Norfolks are more gregarious than a typical terrier, but they have plenty of the old terrier pep. Few Norfolks these days earn their living hunting rodents, but a good one will fearlessly do so when given a chance. Norfolks bond closely, sometimes jealously, with their owners and make nice watchdogs. They have a reputation as a good traveler: portable, adaptable, and up for anything. Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but don’t dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriers—feisty, confident, sturdy, and game for adventure.",22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,Terrier Group
Xoloitzcuintli,5,3,3,1,1,1,Hairless,Short,3,4,3,4,4,4,3,4,https://www.akc.org/dog-breeds/xoloitzcuintli/,https://www.akc.org/wp-content/uploads/2017/11/Xoloitzcuintli-Illo.jpg,"The Xoloitzcuintli (show-low-eats-queen-tlee) comes in three sizes: toy, miniature, and standard, and two varieties: hairless and coated. The hairless has tough, smooth, close-fitting skin. The coated variety is covered by a short, flat coat.Both varieties come in dark colors, ranging from black, gray-black, and slate, to red, liver, or bronze. The face is thoughtful and intelligent, and a Xolo’s forehead will wrinkle when he’s deep in thought. The Xolo’s graceful, elegant body is surprisingly strong and rugged. The 3,000-year-old Xoloitzcuintli (pronounced ""show-low-eats-QUEENT-lee""), the ancient Aztec dog of the gods, is today a loving companion and vigilant watchdog. The alert and loyal Xolo comes in three sizes, and in either hairless or coated varieties.",25.4,58.42,4.535923700000001,24.947580350000003,13.0,18.0,Non-Sporting Group
Kerry Blue Terrier,5,4,2,1,3,2,Wavy,Medium,3,3,5,3,3,4,4,4,https://www.akc.org/dog-breeds/kerry-blue-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Kerry-Blue-Terrier-Illo-2.jpg,"Of course, we begin with the show-stopping coat that turns heads wherever Kerries go. It comes in shades of blue—from a deep slate to a light blue-gray—and is so soft that it’s as pleasing to the touch as it is to the eye. The dense coat covers a muscular, well-developed body standing below 20 inches at the shoulder and weighing up to 40 pounds. A sporty beard and dark, keen eyes accentuate the nobility of the long terrier head. Among the largest of AKC terriers, the Kerry Blue Terrier is famous for his show-stopping blue coat. Named for the Irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.",44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,Terrier Group
Australian Terrier,3,5,3,1,2,1,Wiry,Short,3,4,4,3,4,4,5,4,https://www.akc.org/dog-breeds/australian-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Terrier-Illo-2.jpg,"Australian Terriers are small but sturdy, self-confident terriers known for a longish torso, distinctive coat furnishings around the neck and forequarters, and a topknot of soft, silky hair that contrasts in texture with an otherwise harsh coat. A long neck lends a dash of elegance to this rough-and-ready terrier, and the dark eyes sparkle with a keen intelligence. Coat colors are blue-and-tan, or solid red or sandy. Aussies move with the free and easy gait of a working dog. They are alert watchdogs and said to be quick studies when training. True terriers, Aussies love digging, and the urge to chase small, furry critters has never left them. Not always a great fit in multi-dog households, Aussies want you all to themselves. The diminutive Australian Terrier is plucky, spirited, and smart—how did they fit so much dog into such a bitty package? Upbeat and lively, the self-assured Aussie approaches life with plenty of the old-time terrier curiosity and grit.",25.4,27.94,6.80388555,9.0718474,11.0,15.0,Terrier Group
Lakeland Terrier,5,3,3,2,2,1,Wiry,Short,3,4,3,4,3,3,3,4,https://www.akc.org/dog-breeds/lakeland-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Lakeland-Terrier-Illo-2.jpg,"Square and sturdy Lakelands, standing less than 15 inches at the shoulder and weighing about 17 pounds, are small dogs. But don’t tell them that. With their cock-of-the-walk swagger, Lakelands personify the old dog-lover’s cliché “a big dog in a small package.” They come in several colors; some have a sporty saddle mark on the back.With folded V-shaped ears, straight front, rectangular head, and a mischievous twinkle in their eye, Lakelands are the blueprint of a long-legged British terrier. A bold, zesty “big dog in a small package,” the Lakeland Terrier, named for the Lake District of his native England, was once a farmer’s dog bred to work in packs on sheep-stealing foxes. The Lakeland's coat is hard, wiry, and low-shedding.",35.56,38.1,7.71107029,7.71107029,12.0,15.0,Terrier Group
Bluetick Coonhound,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,https://www.akc.org/dog-breeds/bluetick-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Bluetick-Coonhound-Illo-2.jpg,"Blueticks are speedy and compact nocturnal hunters named for the mottled (or “ticked”) black-and-blue pattern of the glossy coat. A large male can top out at 27 inches and 80 pounds; females are smaller. Blueticks are well-muscled but sleek and racy, never chunky or clumsy. The baying, bawling, and chopping bark of Blueticks might be cacophonous to some, but to coon hunters it’s the music of the night.The droopy-eared charm of Blueticks is irresistible. They crave affection and are deeply devoted to those who provide it. Blueticks have tremendous prey drive. Neglected, underemployed coonhounds with no outlet for their hardwired impulses can develop problem behaviors, like serenading the neighbors with loud, mournful “music.” The sleekly beautiful Bluetick Coonhound is a sweet and affectionate charmer who might enjoy snoozing in the shade, but in pursuit of quarry he is relentless, bold, and single-minded. His off-the-charts prey drive must be channeled.",53.34,68.58,20.41165665,36.2873896,11.0,12.0,Hound Group
English Toy Spaniel,5,5,5,3,3,2,Double,Medium,3,4,3,4,3,3,2,3,https://www.akc.org/dog-breeds/english-toy-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Toy-Spaniel-Illo-2.jpg,"The ETS is a square, snub-nosed toy weighing no more than 14 pounds. The large domed head—with its long and lush ears, dark melting eyes, and chubby cheeks—is a famous breed trait. The profuse coat comes in four varieties, each with its own proper name: red and white (Blenheim); black and tan (King Charles); white, black, and tan (Prince Charles); and a solid red (Ruby). Blenheims often have a red mark, the “Blenheim Spot,” on top of the head.The ETS, like many toy breeds kept by royals, came to assume the personalities of their aristocratic owners. They can be proud and willful, and extremely discriminating in their choice of friends. With their favored humans, they are affectionate at home and exuberant and curious at play. The merry English Toy Spaniel was bred to be the companion of kings. But ETS are spaniels first and pampered lapdogs second, and beneath the patrician exterior beats the heart of a real doggy dog—bright, loving, and willing to please.",22.86,25.4,3.62873896,6.35029318,10.0,12.0,Toy Group
German Pinscher,5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4,https://www.akc.org/dog-breeds/german-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/German-Pinscher-Illo-2.jpg,"Sleek, shiny, and streamlined, German Pinschers are a true dog lover’s delight. They’re eye-catching and elegant but in all ways honestly doggy—nothing fussy or exaggerated. They’ll stand about knee-high to the average adult. Muscles ripple beneath a shimmering coat of red or black-and-blue with red accents. There’s nobility in the elongated, wedge-shaped head, and the dark eyes are alert and eager. German Pinschers move with the kind of strong, free-and-easy gait that tells you this is a confident companion, up for anything the day might bring. The sleek, no-frills German Pinscher is among Germany’s oldest breeds and the prototype of other pinscher breeds. This energetic, super-intelligent dog was at first used as a rat catcher but can be trained for all types of canine work.",43.18,50.8,11.33980925,20.41165665,12.0,14.0,Working Group
Tibetan Mastiff,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4,https://www.akc.org/dog-breeds/tibetan-mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Mastiff-Illo.jpg,"Coming face to face with this ancient behemoth, an intruder up to no good will likely move on to easier pickings. TMs can stand 26 inches at the shoulder and weigh well over 100 pounds. It’s impossible to discuss this breed without leaning on words like “powerful,” “muscular,” “massive,” and “substantial.” And yet, TMs are quite light-footed and will meet a perceived threat with surprising agility. The broad head, with its high-set, V-shaped ears and expressive brown eyes, projects a noble, sagacious expression. Watchful, aloof, imposing, and intimidating: The ancient Tibetan Mastiff is the guardian dog supreme. These densely-coated giants are mellow and calm around the house, sweetly devoted to family, and aloof and territorial with strangers.",60.96,66.04,31.751465900000003,68.0388555,10.0,12.0,Working Group
Bedlington Terrier,3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3,https://www.akc.org/dog-breeds/bedlington-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Bedlington-Terrier-Illo-2.jpg,"Bedlingtons are lithe, energetic Englishmen. The crisp, curly coat; arched back; tasseled ears; scimitar-shaped tail; and fleecy, pear-shaped head are identifying features of this one-of-a-kind breed. As the curvy contours indicate, there’s sighthound—Whippet, most likely—in their family tree. Bedlingtons move with a light, springy step and when roused to pursuit can run like the wind.Rollicking, charming, and full of fun, Bedlingtons want most to be their family’s center of attention and are known to be protective of loved ones. For an active family looking for a no-shedding, lively, and loyal companion, the search might end here. Graceful terriers in sheep’s clothing, Bedlington Terriers, named for the English mining shire where they were first bred, are genial housemates, alert watchdogs, versatile athletes, and irresistibly cuddly TV-time companions.",38.1,44.45,7.71107029,10.43262451,11.0,16.0,Terrier Group
Greyhound,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3,https://www.akc.org/dog-breeds/greyhound/,https://www.akc.org/wp-content/uploads/2017/11/Greyhound-Illo-2.jpg,"Greyhounds are the essence of the dog breeder’s credo “Form follows function.” From the narrow, aerodynamic skull to the shock-absorbing pads of the feet, Greyhounds are perfectly constructed for high-speed pursuit. The lean beauty of the Greyhound’s “inverted S” shape, created by the deep chest curving gently into a tightly tucked waist, has been an object of fascination for artists, poets, and kings for as long as human beings have called themselves civilized. Greyhounds are the template from which other coursing hounds have been struck. The champion sprinter of dogdom, the Greyhound dog breed is a gentle, noble, and sweet-tempered companion with an independent spirit. For thousands of years these graceful hounds have been an object of fascination for artists, poets, and kings.",68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,Hound Group
Saluki,5,3,3,2,1,1,Smooth,Short,3,3,1,3,3,4,3,5,https://www.akc.org/dog-breeds/saluki/,https://www.akc.org/wp-content/uploads/2017/11/Saluki-Illo-2.jpg,"The beauty of Salukis has been a thing of wonder for thousands of years. They’re slim and leggy, but very strong and perfectly balanced, like a great athlete or dancer. Males can stand between 23 and 28 inches at the shoulder; females can be much shorter. They come in a many colors and patterns. Their large, oval-shaped eyes are warm and intelligent.Salukis are highly adaptable, able to live and work in any climate. They’re magnificent animals, but owning them comes with many special challenges. Among the world’s oldest breeds, the slim but rugged Saluki was the hunting hound of kings for thousands of years. Salukis are swift and agile sprinters who love a good chase. They make gentle, dignified, and independent but loyal pets.",58.42,71.12,18.1436948,29.48350405,10.0,17.0,Hound Group
Barbet,4,5,5,1,3,1,Curly,Medium,3,3,3,3,4,3,3,3,https://www.akc.org/dog-breeds/barbet/,https://www.akc.org/wp-content/uploads/2017/11/Barbet-illustration.jpg,"The defining characteristic of this rustic, medium-sized bird dog is the dense curly coat that covers him from the top of his large, broad head to the tip of his curving tail. The coat comes in shades of black, gray, brown, or fawn, sometimes with white markings. The breed’s delightfully shaggy coat and amiable nature creates the impression of a Muppet come to life, but the Barbet is a strong, solidly-built dog bred for centuries to be a keen hunter and tireless swimmer. Barbets are very intelligent and learn new things quickly. They have a calm nature and are easy to live with as long as their exercise needs are being met. An archetypic water dog of France, the Barbet is a rustic breed of medium size and balanced proportions who appears in artwork as early as the 16th century. In profile, the Barbet is slightly rectangular with a substantial head and long, sweeping tail. He has a long, dense covering of curly hair and a distinctive beard. An agile athlete, the Barbet has been used primarily to locate, flush, and retrieve birds. He has a cheerful disposition and is very social and loyal.",48.26,62.23,15.875732950000002,29.48350405,12.0,14.0,Sporting Group
Redbone Coonhound,5,5,5,3,2,3,Smooth,Short,3,3,3,4,3,3,4,4,https://www.akc.org/dog-breeds/redbone-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Redbone-Coonhound-Illo-2.jpg,"Redbones are medium-to-large hound dogs whose muscles undulate beneath a sleek and stunning red coat. The overall impression is that a master sculptor carved them from blocks of the finest mahogany. The classically houndy head is flanked by ears long enough to reach the nose. Dreamy brown eyes give the face an expression described by the breed’s devotees as “pleading.”Bred to work on all kinds of punishing terrain, Redbones are fast and surefooted and move with a proud, determined gait. The streamlined Redbone Coonhound, an American original, is even-tempered, mellow, and kindly at home but a tiger on the trail. Vigorous activities like hunting and swimming between long periods of rest is the rhythm of coonhound life.",53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Hound Group
